Rk,Season,Conf,W,L,WLPercent,W2,L2,WL2Percent,SRS,SOS,PTS,PTS2,AP_Pre,AP_High,AP_Final,NCAA_Tour,Seed,Coaching,Team,SrNames,TeamID,schoolid,yearid,id,Team,G,MP,FG,FGA,FG_Percent,TwoP,TwoPA,TwoP_Percent,ThreeP,ThreePA,ThreeP_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSperG,Team_ID,Dates
9,2011,SWAC,12,19,0,9,9,1,-16,-10,59,64,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (12-19),alabama-state,alabama-state,1106,1106,2011,1000261,alabama-state,35,7050,728,1841,0,563,1258,0,165,583,0,525,870,1,460,811,1271,404,255,163,551,777,2146,61,1106,2011
9,2011,SWAC,12,19,0,9,9,1,-16,-10,59,64,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (12-19),alabama-state,alabama-state,1106,1106,2011,1000261,alabama-state,35,7050,728,1841,0,563,1258,0,165,583,0,525,870,1,460,811,1271,404,255,163,551,777,2146,61,1106,2011
8,2012,SWAC,10,22,0,8,10,0,-18,-9,62,70,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (10-22),alabama-state,alabama-state,1106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,2013,SWAC,19,13,1,12,6,1,-13,-11,71,70,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (19-13),alabama-state,alabama-state,1106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,2014,SWAC,19,10,1,14,4,1,-9,-13,72,67,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (19-10),alabama-state,alabama-state,1106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,2015,SWAC,14,17,0,9,9,1,-13,-9,72,75,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (14-17),alabama-state,alabama-state,1106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,2016,SWAC,8,23,0,6,12,0,-20,-11,66,74,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (8-23),alabama-state,alabama-state,1106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2017,SWAC,8,23,0,8,10,0,-19,-9,69,79,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (8-23),alabama-state,alabama-state,1106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2018,SWAC,12,19,0,9,9,1,-16,-8,67,72,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (12-19),alabama-state,alabama-state,1106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2019,SWAC,8,18,0,7,6,1,-16,-6,61,71,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (8-18),alabama-state,alabama-state,1106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
