Rk,Season,Conf,W,L,WLPercent,W2,L2,WL2Percent,SRS,SOS,PTS_z,PTS2,AP_Pre,AP_High,AP_Final,NCAA_Tour,Seed,Coaching,Team_z,schoolid,yearid,id,Team,G,MP,FG,FGA,FG_Percent,TwoP,TwoPA,TwoP_Percent,ThreeP,ThreePA,ThreeP_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSperG,Team_ID,Dates
11,2009,Big East,31,7,1,13,5,1,19,10,72,64,8,5,6,Lost National Semifinal,2,Bob Huggins (31-7),west-virginia,1452,2009,1000041,west-virginia,35,7025,886,2067,0,655,1364,0,231,703,0,518,742,1,532,808,1340,530,233,159,420,661,2521,72,1452,2009
11,2009,Big 12,33,3,1,15,1,1,25,8,82,64,1,1,1,Lost Second Round,1,Bill Self (33-3),kansas,1242,2009,1000042,kansas,35,7025,945,1979,0,728,1394,1,217,585,0,567,782,1,421,950,1371,555,239,155,508,664,2674,76,1242,2009
11,2009,Summit,11,18,0,8,10,0,-9,-6,71,72,NULL,NULL,NULL,NULL,NULL,Saul Phillips (11-18),north-dakota-state,1295,2009,1000043,north-dakota-state,33,6725,943,1936,0,705,1358,1,238,578,0,535,724,1,363,808,1171,486,230,108,370,539,2659,81,1295,2009
11,2009,Big East,20,13,1,11,7,1,14,8,76,70,19,16,NULL,Lost First Round,9,Rick Pitino (20-13),louisville,1257,2009,1000044,louisville,37,NULL,1001,2189,0,696,1362,1,305,827,0,441,687,1,464,931,1395,625,335,223,508,625,2748,74,1257,2009
11,2009,OVC,24,11,1,15,3,1,4,-3,72,63,NULL,NULL,NULL,NULL,NULL,Donnie Tyndall (24-11),morehead-state,1287,2009,1000045,morehead-state,36,NULL,865,1978,0,677,1413,0,188,565,0,593,823,1,498,902,1400,464,239,139,557,657,2511,70,1287,2009
11,2009,Big East,22,12,1,11,7,1,15,8,73,65,NULL,NULL,NULL,Lost First Round,6,Buzz Williams (22-12),marquette,1266,2009,1000046,marquette,35,7025,914,2023,0,671,1322,1,243,701,0,668,918,1,425,822,1247,526,275,100,408,623,2739,78,1266,2009
11,2009,WAC,27,8,1,14,2,1,14,1,73,60,NULL,NULL,NULL,Lost First Round,12,Stew Morrill (27-8),utah-state,1429,2009,1000047,utah-state,35,NULL,899,1813,0,677,1250,1,222,563,0,514,695,1,365,837,1202,566,168,88,393,539,2534,72,1429,2009
11,2009,Big Ten,28,9,1,14,4,1,15,8,72,64,2,2,13,Lost National Semifinal,5,Tom Izzo (28-9),michigan-state,1277,2009,1000048,michigan-state,38,7600,962,2135,0,761,1568,0,201,567,0,612,877,1,533,949,1482,611,248,107,532,734,2737,72,1277,2009
11,2009,NEC,23,12,1,15,3,1,-4,-6,69,66,NULL,NULL,NULL,Lost First Round,15,Mike Rice (23-12),robert-morris,1352,2009,1000049,robert-morris,35,NULL,880,1859,0,654,1286,1,226,573,0,481,683,1,353,808,1161,536,301,121,530,693,2467,71,1352,2009
11,2009,Big 12,23,11,1,10,6,1,17,6,77,66,NULL,NULL,NULL,Lost Second Round,10,Mike Anderson (23-11),missouri,1281,2009,1000050,missouri,38,7600,1124,2381,0,861,1635,1,263,746,0,585,871,1,486,907,1393,699,388,140,449,758,3096,82,1281,2009
11,2009,Ivy,29,5,1,13,1,1,9,-1,76,65,NULL,NULL,NULL,Lost Regional Semifinal,12,Steve Donahue (29-5),cornell,1165,2009,1000051,cornell,31,NULL,821,1736,0,580,1149,1,241,587,0,398,545,1,321,784,1105,482,203,121,398,556,2281,74,1165,2009
11,2009,Big 12,22,11,1,9,7,1,12,7,74,68,NULL,NULL,NULL,Lost First Round,7,Travis Ford (22-11),oklahoma-state,1329,2009,1000052,oklahoma-state,35,7050,948,2059,0,621,1208,1,327,851,0,607,812,1,346,877,1223,446,266,82,431,745,2830,81,1329,2009
11,2009,SEC,28,9,1,11,5,1,16,8,74,65,10,8,15,Lost Regional Final,6,Bruce Pearl (28-9),tennessee,1397,2009,1000053,tennessee,34,6825,957,2105,0,728,1377,1,229,728,0,522,772,1,485,831,1316,554,225,124,452,647,2665,78,1397,2009
11,2009,Big East,25,9,1,13,5,1,14,7,69,62,NULL,9,18,Lost Second Round,3,Jamie Dixon (25-9),pittsburgh,1338,2009,1000054,pittsburgh,36,7200,1040,2174,0,815,1534,1,225,640,0,482,713,1,533,900,1433,633,246,139,436,585,2787,77,1338,2009
11,2009,A-Sun,20,15,1,13,7,1,-1,-1,69,68,NULL,NULL,NULL,Lost First Round,16,Murry Bartow (20-15),east-tennessee-state,1190,2009,1000055,east-tennessee-state,34,NULL,944,2044,0,749,1454,1,195,590,0,574,810,1,395,895,1290,429,287,131,477,622,2657,78,1190,2009
11,2009,MAAC,27,7,1,17,1,1,8,-1,75,66,NULL,NULL,NULL,Lost First Round,13,Fran McCaffery (27-7),siena,1373,2009,1000056,siena,35,7075,1007,2157,0,823,1599,1,184,558,0,511,769,1,438,835,1273,534,309,159,462,521,2709,77,1373,2009
11,2009,Big Ten,29,8,1,14,4,1,19,7,74,62,16,5,5,Lost Regional Semifinal,2,Thad Matta (29-8),ohio-state,1326,2009,1000057,ohio-state,33,6675,778,1618,0,562,1042,1,216,576,0,434,619,1,266,758,1024,440,194,175,439,501,2206,67,1326,2009
11,2009,Big East,30,5,1,15,3,1,22,7,81,66,NULL,1,4,Lost Regional Semifinal,1,Jim Boeheim (30-5),syracuse,1393,2009,1000058,syracuse,38,NULL,1110,2277,0,854,1534,1,256,743,0,570,884,1,482,1023,1505,687,296,194,583,580,3046,80,1393,2009
11,2009,Southland,23,9,1,11,5,1,-2,-7,66,60,NULL,NULL,NULL,NULL,NULL,Danny Kaspar (23-9),stephen-f-austin,1372,2009,1000059,stephen-f-austin,32,6475,786,1795,0,609,1234,0,177,561,0,350,539,1,311,815,1126,421,200,100,384,582,2099,66,1372,2009
11,2009,Pac-10,16,14,1,8,10,0,9,6,60,57,NULL,NULL,NULL,NULL,NULL,Kevin O'Neill (16-14),southern-california,1425,2009,1000060,southern-california,35,NULL,872,1843,0,743,1447,1,129,396,0,524,778,1,409,838,1247,438,224,165,487,584,2397,69,1425,2009
11,2009,ACC,15,16,0,6,10,0,10,7,69,66,NULL,NULL,NULL,NULL,NULL,Al Skinner (15-16),boston-college,1130,2009,1000061,boston-college,34,6850,885,2000,0,668,1351,0,217,649,0,541,733,1,485,774,1259,503,208,147,457,614,2528,74,1130,2009
11,2009,Big Ten,24,9,1,13,5,1,18,8,67,57,NULL,11,16,Lost Second Round,4,Bo Ryan (24-9),wisconsin,1458,2009,1000062,wisconsin,33,6700,735,1686,0,522,1094,0,213,592,0,423,583,1,317,703,1020,393,163,86,330,532,2106,64,1458,2009
11,2009,ACC,22,10,1,10,6,1,15,7,68,60,NULL,18,NULL,Lost First Round,9,Leonard Hamilton (22-10),florida-state,1199,2009,1000063,florida-state,35,7050,820,1886,0,604,1255,0,216,631,0,536,739,1,399,854,1253,423,284,202,548,657,2392,68,1199,2009
11,2009,A-10,26,9,1,14,2,1,16,6,80,70,NULL,24,25,Lost Regional Semifinal,6,Chris Mack (26-9),xavier,1462,2009,1000064,xavier,35,NULL,847,1846,0,608,1239,0,239,607,0,575,851,1,420,958,1378,464,185,178,511,653,2508,72,1462,2009
11,2009,Big Sky,13,19,0,7,9,0,-3,-1,78,79,NULL,NULL,NULL,NULL,NULL,Tyler Geving (13-19),portland-state,1340,2009,1000065,portland-state,33,NULL,861,1899,0,544,1064,1,317,835,0,378,557,1,388,728,1116,503,245,93,453,553,2417,73,1340,2009
11,2009,Big East,18,16,1,7,11,0,13,9,70,67,12,10,NULL,NULL,NULL,Jim Calhoun (18-16),connecticut,1163,2009,1000066,connecticut,36,7375,996,2102,0,831,1618,1,165,484,0,662,976,1,511,1048,1559,567,209,280,458,471,2819,78,1163,2009
11,2009,Big 12,24,10,1,11,5,1,15,10,71,65,NULL,16,23,Lost Second Round,5,Mark Turgeon (24-10),texas-am,1401,2009,1000067,texas-am,34,NULL,822,1831,0,620,1271,0,202,560,0,594,856,1,422,827,1249,427,164,133,432,585,2440,72,1401,2009
11,2009,ACC,35,5,1,13,3,1,25,9,77,61,9,3,3,Won National Final,1,Mike Krzyzewski (35-5),duke,1181,2009,1000068,duke,37,7425,971,2186,0,704,1420,0,267,766,0,658,904,1,490,858,1348,492,311,146,454,671,2867,78,1181,2009
11,2009,Big 12,24,10,1,9,7,1,19,7,81,70,3,1,NULL,Lost First Round,8,Rick Barnes (24-10),texas,1400,2009,1000069,texas,35,7050,917,2063,0,751,1497,1,166,566,0,532,797,1,496,863,1359,448,217,187,442,674,2532,72,1400,2009
11,2009,WCC,27,7,1,12,2,1,12,4,77,67,NULL,13,22,Lost Second Round,8,Mark Few (27-7),gonzaga,1211,2009,1000070,gonzaga,34,6850,967,1982,0,716,1339,1,251,643,0,499,696,1,345,931,1276,512,246,174,386,551,2684,79,1211,2009
11,2009,Sun Belt,21,13,1,12,6,1,2,-2,71,67,NULL,NULL,NULL,NULL,NULL,Ken McDonald (21-13),western-kentucky,1443,2009,1000071,western-kentucky,34,6800,871,1929,0,605,1215,0,266,714,0,446,647,1,432,819,1251,454,193,111,452,587,2454,72,1443,2009
11,2009,CUSA,24,10,1,13,3,1,12,4,75,66,NULL,NULL,NULL,NULL,NULL,Josh Pastner (24-10),memphis,1272,2009,1000072,memphis,37,7425,979,2176,0,757,1495,1,222,681,0,599,868,1,498,954,1452,526,328,222,464,654,2779,75,1272,2009
11,2009,ACC,24,9,1,13,3,1,18,8,80,68,NULL,19,20,Lost Second Round,4,Gary Williams (24-9),maryland,1268,2009,1000073,maryland,35,7075,924,2179,0,723,1575,0,201,604,0,463,611,1,464,810,1274,511,268,145,428,582,2512,72,1268,2009
11,2009,ACC,20,17,1,5,11,0,10,10,75,72,6,6,NULL,NULL,NULL,Roy Williams (20-17),north-carolina,1314,2009,1000074,north-carolina,38,7625,1205,2509,0,941,1827,1,264,682,0,739,983,1,556,1038,1594,685,325,196,472,608,3413,90,1314,2009
11,2009,SEC,11,20,0,2,14,0,1,6,62,66,NULL,NULL,NULL,NULL,NULL,Trent Johnson (11-20),louisiana-state,1261,2009,1000075,louisiana-state,35,7050,937,2093,0,724,1521,0,213,572,0,530,740,1,475,890,1365,529,267,212,425,609,2617,75,1261,2009
11,2009,Big 12,13*,18*,0,4,12,0,6,8,72,74,17,17,NULL,NULL,NULL,Jeff Capel (13-18),oklahoma,1328,2009,1000076,oklahoma,36,7225,982,1997,0,740,1308,1,242,689,0,627,929,1,435,967,1402,521,249,156,500,616,2833,79,1328,2009
11,2009,Big Ten,15,17,0,7,11,0,10,9,64,62,15,15,NULL,NULL,NULL,John Beilein (15-17),michigan,1276,2009,1000077,michigan,35,7100,812,1910,0,507,998,1,305,912,0,412,544,1,336,751,1087,542,223,92,402,535,2341,67,1276,2009
11,2009,Big Ten,29,6,1,14,4,1,18,9,71,61,7,3,10,Lost Regional Semifinal,4,Matt Painter (29-6),purdue,1345,2009,1000078,purdue,37,7475,914,2071,0,670,1367,0,244,704,0,483,687,1,363,908,1271,552,265,176,426,650,2555,69,1345,2009
11,2009,Pac-10,26,10,1,11,7,1,16,7,79,70,14,12,NULL,Lost Regional Semifinal,11,Lorenzo Romar (26-10),washington,1449,2009,1000079,washington,35,NULL,977,2136,0,831,1703,0,146,433,0,650,929,1,532,905,1437,458,259,95,515,683,2750,79,1449,2009
11,2009,Big East,25,8,1,13,5,1,17,8,82,73,5,2,9,Lost Second Round,2,Jay Wright (25-8),villanova,1437,2009,1000080,villanova,38,NULL,990,2193,0,743,1492,0,247,701,0,692,919,1,477,972,1449,551,300,128,505,735,2919,77,1437,2009
11,2009,Pac-10,14,18,0,8,10,0,6,8,67,69,NULL,NULL,NULL,NULL,NULL,Ben Howland (14-18),ucla,1417,2009,1000081,ucla,35,7025,967,1973,0,705,1317,1,262,656,0,446,616,1,395,756,1151,541,292,110,440,598,2642,76,1417,2009
11,2009,Pac-10,16,15,1,10,8,1,8,8,72,72,NULL,NULL,NULL,NULL,NULL,Sean Miller (16-15),arizona,1112,2009,1000082,arizona,35,7025,897,1892,0,685,1344,1,212,548,0,523,709,1,387,796,1183,500,217,104,442,548,2529,72,1112,2009
11,2009,Horizon,16,17,0,10,8,1,1,2,69,68,NULL,NULL,NULL,NULL,NULL,Gary Waters (16-17),cleveland-state,1156,2009,1000083,cleveland-state,37,7400,882,2043,0,702,1465,0,180,578,0,511,729,1,441,826,1267,512,320,118,454,680,2455,66,1156,2009
11,2009,Big 12,33,3,1,15,1,1,25,8,82,64,1,1,1,Lost Second Round,1,Bill Self (33-3),kansas,1242,2009,1000084,kansas,35,7025,945,1979,0,728,1394,1,217,585,0,567,782,1,421,950,1371,555,239,155,508,664,2674,76,1242,2009
11,2009,A-10,25,12,1,8,8,1,13,6,70,62,21,18,NULL,NULL,NULL,Brian Gregory (25-12),dayton,1173,2009,1000085,dayton,35,7050,831,1972,0,641,1393,0,190,579,0,487,752,1,484,844,1328,485,227,124,475,672,2339,67,1173,2009
11,2009,Big East,20,13,1,11,7,1,14,8,76,70,19,16,NULL,Lost First Round,9,Rick Pitino (20-13),louisville,1257,2009,1000086,louisville,37,NULL,1001,2189,0,696,1362,1,305,827,0,441,687,1,464,931,1395,625,335,223,508,625,2748,74,1257,2009
11,2009,MAAC,27,7,1,17,1,1,8,-1,75,66,NULL,NULL,NULL,Lost First Round,13,Fran McCaffery (27-7),siena,1373,2009,1000087,siena,35,7075,1007,2157,0,823,1599,1,184,558,0,511,769,1,438,835,1273,534,309,159,462,521,2709,77,1373,2009
11,2009,Big Ten,28,9,1,14,4,1,15,8,72,64,2,2,13,Lost National Semifinal,5,Tom Izzo (28-9),michigan-state,1277,2009,1000088,michigan-state,38,7600,962,2135,0,761,1568,0,201,567,0,612,877,1,533,949,1482,611,248,107,532,734,2737,72,1277,2009
11,2009,Pac-10,16,14,1,8,10,0,9,6,60,57,NULL,NULL,NULL,NULL,NULL,Kevin O'Neill (16-14),southern-california,1425,2009,1000089,southern-california,35,NULL,872,1843,0,743,1447,1,129,396,0,524,778,1,409,838,1247,438,224,165,487,584,2397,69,1425,2009
11,2009,Big 12,23,11,1,10,6,1,17,6,77,66,NULL,NULL,NULL,Lost Second Round,10,Mike Anderson (23-11),missouri,1281,2009,1000090,missouri,38,7600,1124,2381,0,861,1635,1,263,746,0,585,871,1,486,907,1393,699,388,140,449,758,3096,82,1281,2009
11,2009,Big East,22,12,1,11,7,1,15,8,73,65,NULL,NULL,NULL,Lost First Round,6,Buzz Williams (22-12),marquette,1266,2009,1000091,marquette,35,7025,914,2023,0,671,1322,1,243,701,0,668,918,1,425,822,1247,526,275,100,408,623,2739,78,1266,2009
11,2009,Big East,25,9,1,13,5,1,14,7,69,62,NULL,9,18,Lost Second Round,3,Jamie Dixon (25-9),pittsburgh,1338,2009,1000092,pittsburgh,36,7200,1040,2174,0,815,1534,1,225,640,0,482,713,1,533,900,1433,633,246,139,436,585,2787,77,1338,2009
