Team,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,Team_ID,Date
kentucky,38.0,7675.0,1066,2228,.478,835,1531,.545,231,697,.331,649,971,.668,538,1046,1584,573,279,273,538,641,3012,79.3,1246,2010.0
murray-state,36.0,7200.0,978,1961,.499,752,1362,.552,226,599,.377,571,821,.695,439,880,1319,556,347,196,527,618,2753,76.5,1293,2010.0
new-mexico,35.0,7050.0,887,2023,.438,614,1284,.478,273,739,.369,608,909,.669,458,889,1347,497,232,120,387,615,2655,75.9,1307,2010.0
northern-iowa,35.0,7000.0,747,1741,.429,514,1082,.475,233,659,.354,489,645,.758,333,797,1130,367,198,70,372,556,2216,63.3,1320,2010.0
ohio,37.0,7550.0,925,2153,.430,647,1394,.464,278,759,.366,635,883,.719,443,928,1371,524,278,97,473,696,2763,74.7,1325,2010.0
old-dominion,36.0,7225.0,922,2061,.447,756,1538,.492,166,523,.317,405,625,.648,540,854,1394,554,282,105,457,560,2415,67.1,1330,2010.0
saint-marys-ca,34.0,6825.0,944,1950,.484,660,1251,.528,284,699,.406,496,652,.761,370,874,1244,543,168,176,394,560,2668,78.5,1388,2010.0
tennessee,37.0,7425.0,991,2174,.456,773,1493,.518,218,681,.320,520,775,.671,441,912,1353,530,290,136,490,733,2720,73.5,1397,2010.0
villanova,33.0,6650.0,899,1962,.458,647,1286,.503,252,676,.373,650,861,.755,441,831,1272,448,259,133,452,731,2700,81.8,1437,2010.0
wake-forest,31.0,6350.0,811,1869,.434,677,1434,.472,134,435,.308,501,762,.657,463,843,1306,369,221,162,471,624,2257,72.8,1448,2010.0
washington,36.0,7225.0,1004,2212,.454,813,1644,.495,191,568,.336,652,905,.720,476,888,1364,515,264,151,460,766,2851,79.2,1449,2010.0
california,35.0,7025.0,966,2028,.476,738,1419,.520,228,609,.374,543,717,.757,395,846,1241,500,198,86,421,593,2703,77.2,1143,2010.0
cornell,34.0,6850.0,913,1894,.482,587,1135,.517,326,759,.430,393,538,.730,349,800,1149,543,243,122,414,598,2596,76.4,1165,2010.0
duke,40.0,8000.0,1049,2375,.442,748,1593,.470,301,782,.385,682,899,.759,569,991,1560,555,266,162,429,722,3079,77.0,1181,2010.0
georgia-tech,36.0,7225.0,948,2064,.459,735,1477,.498,213,587,.363,512,779,.657,464,966,1430,508,288,190,574,670,2621,72.8,1210,2010.0
gonzaga,34.0,6875.0,912,1856,.491,730,1340,.545,182,516,.353,608,916,.664,358,928,1286,456,227,142,444,614,2614,76.9,1211,2010.0
maryland,33.0,6675.0,966,2052,.471,771,1542,.500,195,510,.382,502,689,.729,421,849,1270,545,256,154,383,554,2629,79.7,1268,2010.0
michigan-state,37.0,7425.0,974,2068,.471,787,1525,.516,187,543,.344,523,764,.685,487,939,1426,606,242,123,514,666,2658,71.8,1277,2010.0
missouri,34.0,6850.0,926,2104,.440,668,1403,.476,258,701,.368,517,714,.724,441,759,1200,522,371,160,432,656,2627,77.3,1281,2010.0
