team_1_score,team_2_score,team_1_id,team_2_id,game_id
62,61,100727,100762,716
74,51,100728,100716,717
69,66,100729,100763,718
50,68,100764,100730,719
64,66,100765,100731,720
78,76,100732,100766,721
76,84,100715,100733,722
72,58,100734,100767,723
77,75,100735,100768,724
87,45,100736,100769,725
57,50,100737,100770,726
57,61,100771,100738,727
73,62,100739,100772,728
53,72,100773,100740,729
66,55,100741,100774,730
75,45,100742,100775,731
87,102,100776,100743,732
56,69,100777,100744,733
46,75,100717,100745,734
65,43,100746,100778,735
77,60,100747,100779,736
81,85,100780,100748,737
74,56,100718,100781,738
68,65,100749,100782,739
70,71,100728,100719,740
89,67,100720,100724,741
69,58,100722,100721,742
73,65,100723,100732,743
63,71,100733,100726,744
65,48,100729,100727,745
64,71,100731,100730,746
65,70,100725,100734,747
69,70,100748,100735,748
71,73,100742,100736,749
57,71,100744,100737,750
73,59,100740,100739,751
62,66,100747,100741,752
86,83,100743,100749,753
98,66,100745,100738,754
76,94,100746,100718,755
77,93,100736,100735,756
61,54,100719,100734,757
67,74,100730,100722,758
74,83,100720,100723,759
57,77,100729,100740,760
60,62,100745,100726,761
63,81,100741,100743,762
71,72,100737,100718,763
71,74,100723,100719,764
63,65,100735,100722,765
69,76,100743,100726,766
61,71,100740,100718,767
62,70,100718,100719,768
55,56,100726,100722,769
41,53,100719,100722,770
72,78,100818,100783,771
58,59,100819,100784,772
65,54,100785,100820,773
71,59,100786,100821,774
60,68,100822,100787,775
68,64,100788,100823,776
77,54,100789,100824,777
79,66,100790,100825,778
64,77,100826,100791,779
70,64,100792,100827,780
66,81,100784,100793,781
69,62,100794,100828,782
88,68,100795,100783,783
41,58,100829,100796,784
68,75,100830,100797,785
59,78,100831,100798,786
65,72,100832,100799,787
59,62,100833,100800,788
79,70,100801,100834,789
73,49,100802,100835,790
65,59,100803,100836,791
57,58,100837,100804,792
71,45,100805,100838,793
66,63,100806,100839,794
59,74,100840,100807,795
65,50,100808,100841,796
70,75,100842,100809,797
67,89,100843,100810,798
79,65,100811,100844,799
86,84,100812,100845,800
58,77,100786,100813,801
65,60,100814,100846,802
69,72,100847,100815,803
44,58,100848,100785,804
61,54,100816,100849,805
63,67,100850,100817,806
63,80,100788,100787,807
61,63,100800,100790,808
87,71,100793,100791,809
56,59,100797,100794,810
53,62,100796,100795,811
66,73,100789,100798,812
75,59,100799,100792,813
57,60,100801,100802,814
62,56,100803,100806,815
84,50,100805,100812,816
60,63,100815,100808,817
61,65,100816,100810,818
63,66,100807,100811,819
87,73,100813,100804,820
62,56,100814,100785,821
58,70,100809,100817,822
68,58,100805,100795,823
44,57,100810,100794,824
81,66,100798,100803,825
63,64,100802,100799,826
75,70,100787,100817,827
60,57,100808,100811,828
102,90,100793,100790,829
73,65,100813,100814,830
72,68,100794,100805,831
70,77,100799,100798,832
80,67,100808,100813,833
82,70,100793,100787,834
62,64,100798,100808,835
69,61,100793,100794,836
59,67,100808,100793,837
72,73,100886,100851,838
67,54,100852,100887,839
55,68,100888,100853,840
71,80,100889,100854,841
81,64,100855,100890,842
68,56,100856,100891,843
64,61,100857,100892,844
84,72,100858,100893,845
58,64,100894,100859,846
62,68,100895,100860,847
48,79,100851,100861,848
59,58,100862,100896,849
52,54,100852,100863,850
56,71,100897,100864,851
65,54,100865,100898,852
55,68,100899,100866,853
64,44,100867,100900,854
34,81,100901,100868,855
42,88,100902,100869,856
73,55,100870,100903,857
67,63,100871,100904,858
61,73,100905,100872,859
78,68,100873,100906,860
47,79,100907,100874,861
49,57,100908,100875,862
62,83,100853,100876,863
76,58,100877,100909,864
57,64,100910,100878,865
61,63,100911,100854,866
78,49,100879,100912,867
83,63,100880,100913,868
57,46,100881,100914,869
78,71,100882,100915,870
95,70,100883,100916,871
55,70,100917,100884,872
72,76,100918,100885,873
51,74,100860,100855,874
82,56,100861,100858,875
72,74,100856,100862,876
53,78,100869,100864,877
70,48,100865,100863,878
57,74,100867,100866,879
66,60,100868,100857,880
76,70,100870,100859,881
50,66,100871,100872,882
81,71,100873,100884,883
64,78,100880,100874,884
52,58,100885,100876,885
70,58,100878,100882,886
74,76,100881,100854,887
59,63,100875,100879,888
75,78,100877,100883,889
61,71,100879,100862,890
70,73,100855,100883,891
50,61,100876,100868,892
72,58,100870,100854,893
61,71,100865,100872,894
50,62,100873,100874,895
69,77,100866,100861,896
87,85,100864,100878,897
55,39,100868,100862,898
70,66,100870,100883,899
85,63,100861,100872,900
79,59,100864,100874,901
68,72,100870,100861,902
56,61,100868,100864,903
82,76,100861,100864,904
64,71,100954,100919,905
59,74,100955,100920,906
69,81,100956,100921,907
65,78,100957,100922,908
89,81,100923,100958,909
59,60,100959,100924,910
55,67,100919,100925,911
57,61,100960,100926,912
64,71,100961,100927,913
40,57,100962,100928,914
93,78,100929,100963,915
80,75,100930,100964,916
68,87,100965,100931,917
48,77,100966,100932,918
73,69,100933,100967,919
83,80,100934,100920,920
77,53,100935,100968,921
85,87,100969,100936,922
53,73,100970,100937,923
75,35,100938,100971,924
59,68,100972,100939,925
60,74,100973,100940,926
76,66,100941,100974,927
85,77,100942,100975,928
75,93,100976,100943,929
69,80,100977,100944,930
49,56,100978,100945,931
66,71,100979,100946,932
78,71,100947,100980,933
79,77,100948,100981,934
75,77,100982,100949,935
58,53,100950,100983,936
86,67,100922,100984,937
76,59,100951,100985,938
59,70,100986,100952,939
37,64,100921,100953,940
65,77,100937,100923,941
55,53,100924,100935,942
61,45,100925,100932,943
51,66,100934,100927,944
79,65,100928,100936,945
73,80,100926,100929,946
63,44,100933,100930,947
85,77,100938,100931,948
61,84,100942,100939,949
55,85,100941,100940,950
85,83,100943,100948,951
78,76,100945,100953,952
57,60,100944,100950,953
83,63,100922,100947,954
77,60,100951,100949,955
60,78,100946,100952,956
64,70,100933,100939,957
72,82,100950,100924,958
68,79,100951,100925,959
69,52,100938,100940,960
81,76,100923,100943,961
74,69,100945,100927,962
71,73,100922,100928,963
61,59,100929,100952,964
62,52,100925,100924,965
64,63,100938,100939,966
54,60,100929,100923,967
72,75,100928,100945,968
53,63,100925,100923,969
73,74,100938,100945,970
54,60,100945,100923,971
64,74,101022,100987,972
94,90,100988,101023,973
55,56,101024,100989,974
77,81,101025,100990,975
93,72,100991,101026,976
53,56,101027,100992,977
56,48,100993,101028,978
65,66,101029,100994,979
74,84,101030,100995,980
56,57,101031,100996,981
79,56,100997,100987,982
65,66,101032,100998,983
67,65,100999,101033,984
69,65,101000,101034,985
72,75,101035,101001,986
60,59,101002,101036,987
60,59,101003,101037,988
50,57,101038,101004,989
52,93,101039,101005,990
76,57,101006,100988,991
53,66,101040,100989,992
56,85,100990,101007,993
76,86,101041,101008,994
52,83,101042,101009,995
75,56,101010,101043,996
55,57,101044,101011,997
62,65,101045,101012,998
63,70,101046,101013,999
71,54,101014,101047,1000
60,69,101048,101015,1001
73,79,101049,101016,1002
64,76,101050,101017,1003
79,67,101018,101051,1004
68,62,101019,101052,1005
76,81,101053,101020,1006
72,86,101054,101021,1007
73,58,100991,101001,1008
51,64,100994,100997,1009
71,68,100998,101005,1010
78,87,100992,100999,1011
67,64,101000,100993,1012
75,92,101002,101003,1013
64,75,100995,101004,1014
67,75,100996,101006,1015
68,49,101007,101017,1016
68,87,101009,101008,1017
53,66,101014,101011,1018
60,54,101013,101018,1019
72,66,101015,100989,1020
59,69,101012,101019,1021
78,65,101020,101010,1022
65,72,101016,101021,1023
68,60,100991,101006,1024
39,78,101019,100997,1025
70,81,101020,101000,1026
79,72,101021,100999,1027
57,63,101004,101007,1028
74,62,101008,101003,1029
75,65,101011,100998,1030
62,58,101013,101015,1031
68,66,100997,101000,1032
78,85,100991,101021,1033
66,52,101007,101008,1034
70,76,101011,101013,1035
61,81,101013,101007,1036
71,64,101021,100997,1037
63,68,101021,101007,1038
65,96,101090,101055,1039
70,50,101056,101091,1040
55,59,101092,101057,1041
62,67,101093,101058,1042
85,83,101059,101094,1043
61,71,101095,101060,1044
74,67,101061,101096,1045
85,93,101097,101062,1046
68,52,101063,101098,1047
99,74,101064,101099,1048
81,94,101100,101065,1049
105,79,101066,101101,1050
57,85,101102,101067,1051
79,72,101068,101103,1052
83,67,101069,101055,1053
70,69,101070,101104,1054
80,69,101071,101105,1055
81,45,101072,101106,1056
65,55,101056,101107,1057
79,75,101073,101108,1058
66,77,101109,101074,1059
72,70,101075,101110,1060
79,74,101076,101111,1061
81,90,101112,101077,1062
72,75,101113,101078,1063
70,63,101079,101058,1064
68,82,101114,101080,1065
91,52,101081,101057,1066
70,56,101082,101115,1067
78,76,101083,101116,1068
51,70,101117,101084,1069
92,65,101085,101118,1070
67,75,101119,101086,1071
56,86,101120,101087,1072
47,43,101088,101121,1073
71,53,101089,101122,1074
64,71,101073,101062,1075
82,59,101063,101071,1076
73,67,101064,101067,1077
61,78,101059,101065,1078
61,73,101061,101066,1079
57,65,101056,101068,1080
85,66,101069,101070,1081
69,77,101060,101072,1082
60,73,101074,101076,1083
75,76,101082,101079,1084
85,81,101080,101086,1085
69,64,101081,101083,1086
50,75,101077,101084,1087
92,88,101085,101078,1088
87,68,101087,101075,1089
63,66,101089,101088,1090
63,79,101076,101066,1091
63,77,101085,101080,1092
82,68,101081,101062,1093
92,69,101087,101068,1094
86,101,101064,101069,1095
61,56,101079,101088,1096
63,60,101084,101063,1097
84,71,101072,101065,1098
68,80,101081,101080,1099
59,64,101066,101087,1100
88,74,101069,101079,1101
62,68,101072,101084,1102
83,66,101069,101084,1103
51,95,101080,101087,1104
74,77,101069,101087,1105
95,88,101123,101158,1106
67,66,101124,101159,1107
67,63,101125,101160,1108
75,71,101126,101161,1109
82,100,101162,101127,1110
76,64,101128,101163,1111
80,65,101129,101164,1112
80,86,101165,101130,1113
66,46,101131,101166,1114
73,84,101167,101132,1115
81,72,101133,101168,1116
66,68,101169,101134,1117
60,58,101135,101170,1118
80,70,101136,101171,1119
85,77,101137,101172,1120
56,76,101124,101138,1121
71,76,101173,101139,1122
80,86,101174,101140,1123
74,84,101175,101141,1124
65,76,101176,101142,1125
77,71,101143,101177,1126
73,91,101178,101144,1127
75,61,101145,101123,1128
87,65,101146,101179,1129
100,62,101147,101125,1130
70,79,101180,101148,1131
63,78,101181,101149,1132
91,92,101182,101150,1133
78,58,101151,101183,1134
64,103,101184,101152,1135
77,93,101185,101153,1136
72,84,101186,101154,1137
93,73,101155,101187,1138
97,80,101156,101188,1139
66,65,101126,101189,1140
64,58,101157,101190,1141
69,60,101127,101137,1142
74,65,101128,101133,1143
65,39,101129,101139,1144
73,79,101134,101131,1145
80,76,101136,101132,1146
83,71,101140,101135,1147
