team_id,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,W-L%,SRS,SOS,opp_PPG,Seed
100062,774,1704,0.45399999999999996,525,1065,0.493,249,639,0.39,483,672,0.7190000000000001,342.0,767.0,1109,473,313,104,499.0,558.0,73.5,.774,0.42,-8.07,64.1,15
100063,880,2047,0.43,680,1446,0.47,200,601,0.33299999999999996,479,778,0.616,508.0,393.0,901,496,271,115,,212.0,71.8,.735,2.37,-1.58,67.7,13
100064,929,2043,0.455,762,1515,0.503,167,528,0.316,523,768,0.6809999999999999,463.0,839.0,1302,623,263,139,549.0,626.0,82.2,.742,9.74,2.52,75.0,10
100065,768,1856,0.414,593,1305,0.45399999999999996,175,551,0.318,581,877,0.662,410.0,768.0,1178,392,308,133,537.0,765.0,71.6,.594,-11.10,-7.82,74.9,16
100066,879,1934,0.45399999999999996,649,1283,0.506,230,651,0.353,559,788,0.7090000000000001,486.0,680.0,1166,464,326,97,423.0,652.0,79.6,.844,17.99,5.18,66.5,3
100067,921,2076,0.444,707,1476,0.479,214,600,0.35700000000000004,530,760,0.6970000000000001,464.0,752.0,1216,451,194,118,380.0,666.0,73.9,.714,16.19,7.84,65.5,5
100068,1217,2530,0.48100000000000004,810,1473,0.55,407,1057,0.385,697,1002,0.696,538.0,967.0,1505,701,411,196,531.0,659.0,90.7,.897,32.18,11.98,70.5,1
100069,924,2115,0.43700000000000006,738,1554,0.475,186,561,0.332,540,817,0.6609999999999999,607.0,874.0,1481,547,324,198,550.0,694.0,78.0,.758,12.07,1.58,67.5,10
100070,929,2068,0.449,653,1288,0.507,276,780,0.354,567,808,0.7020000000000001,441.0,730.0,1171,449,351,129,435.0,617.0,79.4,.853,5.25,-3.72,68.7,11
100071,850,1846,0.46,650,1271,0.511,200,575,0.348,571,835,0.684,434.0,809.0,1243,449,218,185,489.0,596.0,77.2,.781,-3.67,-10.60,70.2,15
100072,815,1895,0.43,605,1322,0.45799999999999996,210,573,0.366,753,1068,0.705,482.0,869.0,1351,474,191,83,520.0,783.0,74.1,.657,14.24,10.70,70.5,7
100073,823,1917,0.429,643,1401,0.45899999999999996,180,516,0.349,564,739,0.763,403.0,700.0,1103,429,233,105,346.0,671.0,70.3,.706,8.69,1.44,62.3,13
100074,988,2051,0.48200000000000004,743,1343,0.5529999999999999,245,708,0.34600000000000003,492,751,0.655,464.0,847.0,1311,539,229,151,513.0,631.0,79.8,.706,20.27,11.06,70.6,2
100075,1120,2313,0.484,915,1773,0.516,205,540,0.38,622,894,0.696,543.0,935.0,1478,692,322,213,523.0,713.0,85.2,.694,23.82,10.99,72.4,3
100076,847,2015,0.42,568,1281,0.44299999999999995,279,734,0.38,520,742,0.701,466.0,793.0,1259,418,258,132,497.0,679.0,75.5,.606,10.76,9.19,72.8,9
100077,905,1879,0.48200000000000004,650,1163,0.5589999999999999,255,716,0.35600000000000004,560,808,0.693,368.0,873.0,1241,590,204,128,479.0,652.0,79.5,.788,12.72,4.45,71.3,9
100078,953,1865,0.511,701,1278,0.5489999999999999,252,587,0.429,671,903,0.743,365.0,879.0,1244,568,187,108,438.0,778.0,83.2,.912,25.76,9.86,65.5,1
100079,902,1947,0.46299999999999997,712,1412,0.504,190,535,0.355,550,829,0.6629999999999999,441.0,778.0,1219,464,249,127,515.0,670.0,79.5,.719,17.13,12.06,74.4,4
100080,898,1955,0.45899999999999996,690,1358,0.508,208,597,0.348,616,873,0.706,422.0,828.0,1250,514,259,151,512.0,617.0,77.1,.706,16.53,10.83,71.2,6
100081,852,1755,0.485,652,1242,0.525,200,513,0.39,500,743,0.6729999999999999,370.0,807.0,1177,511,220,132,486.0,581.0,70.7,.824,9.97,-1.50,57.6,12
